Month,US.RTI
1955-01-01,36.2637426647981
1956-01-01,36.8606183517836
1957-01-01,37.5996899270588
1958-01-01,34.8466418317568
1959-01-01,36.9813677821236
1960-01-01,37.0752498608914
1961-01-01,36.6420333150765
1962-01-01,38.7342988586101
1963-01-01,39.9795040430216
1964-01-01,41.9963613694402
1965-01-01,44.8073955910991
1966-01-01,46.3026413639338
1967-01-01,47.0346235890906
1968-01-01,50.0188292516014
1969-01-01,50.7745294791355
1970-01-01,51.0328795975917
1971-01-01,54.0168881142869
1972-01-01,57.9069421228514
1973-01-01,60.8877337907460
1974-01-01,58.0517181731888
1975-01-01,57.7141691086731
1976-01-01,60.9133934336521
1977-01-01,62.9549410905258
1978-01-01,65.1073455301556
1979-01-01,65.2617415773866
1980-01-01,61.3523556314993
1981-01-01,60.3305008399006
1982-01-01,58.4896476847035
1983-01-01,62.0465872976335
1984-01-01,65.4236365583230
1985-01-01,67.5094236202296
1986-01-01,69.8467835819610
1987-01-01,71.6380300509414
1988-01-01,73.9626903911700
1989-01-01,74.9349837267723
1990-01-01,74.5587552767524
1991-01-01,71.9686817008498
1992-01-01,73.2718961599958
1993-01-01,76.1376047535664
1994-01-01,80.6214362856825
1995-01-01,82.6076533512588
1996-01-01,85.4641241919914
1997-01-01,87.3034446031043
1998-01-01,89.9037496825380
1999-01-01,95.5209489764400
2000-01-01,98.3403377341732
2001-01-01,98.1697743533046
2002-01-01,98.7288274537341
2003-01-01,100.6853044792360
2004-01-01,104.3887206656380
2005-01-01,107.2588481587260
2006-01-01,109.0857389932500
2007-01-01,109.4869750849350
2008-01-01,104.0456908822770
2009-01-01,96.0560316051161
2010-01-01,100.0000000000000
2011-01-01,104.2968786805930
2012-01-01,107.4026122602080
2013-01-01,110.3373443832060
2014-01-01,112.7276834398280
